id,example,term,pos,sense_id,definition,ANNOTATION,DEFICIENT SENTENCE
632,"I will speak for myself, thank you. The pedophile issue is raised solely to muddy the gay rights issue. As someone else said, it is a red herring. Are you suggesting that chickenfuckers are next and that if we sanction gay marriages then we have to sanction chickenfuckers? What the gay issue comes [...] reason. It has nothing to do with pedophiles. Or chickenfuckers.",chickenfucker,noun,2,Someone who takes part in sexual activity with chickens.,,
2463,"""Maggot!"" said Catweazle angrily. ""Sit thee down!""",maggot,noun,2,A worthless person. [from 17th c.],,
2800,"Of annuals: Sweet Alyssum, Amaranthus — Prince's Feather, and Love lies bleeding, Celosia— Cock's comb; Asters, Callistephus— China and German Asters, Centaurea, Bachelor's Button, Clarkia Coreopsis, Datura, Escholzia, Hibuiscus— Rose Mallow, Iberis— Candy tuft, Impatiens— Balsam, Lavatera, Lupin, Mimosa, Mirabilis, Four o'clock— Marvel of Peru, Nigella— Love-in-a-mist— Jack in the Bush, Portulaca, Petunia, Reseda Odorata— Mignouette, Scabiosa— Mouring Bride, Silene— Catchfly, Calendula— Pot Marigold, Tagetes — French Marigold, and African do, Papaver — Poppy, and Zinnia — Old maids.",old maid,noun,3,The common zinnia.,,
1410,"One rioter was seized, and ordered by the privy council to be whipped. His fellows rescued him and beat the hangman.",fellow,noun,1,A companion; a comrade.,,
4403,The turkey cut in front of me and then berated me for running into him.,turkey,noun,9,A foolish or inept person.,,
1477,"Gramercie fellovv: there, drinke that for me. Throvves him his Purſe.",fellow,noun,13,"A man without good breeding or of lower social status; a common or ignoble man; also, used as a polite term of address to such a person. ",,
1660,Stank had been a real fuckling — he was born and raised in the carny. Had never gone to school. He was illiterate.,fuckling,noun,1,A stupid or annoying person.,,
690,"So the clams have John Travolta, Tom Cruise, et al in their hot li'l ol'P-R hands  […]",clam,noun,5,A Scientologist.,,
1039,"“The ski trip? Oh, God, what a depressoid bust. It turned out we didn't have reservations at the place we thought we did.  […]",depressoid,adjective,2,Depressing or miserable.,,
51,"It had a peculiar alien tallness, a peculiar alien flattened head, peculiar slitty little alien eyes[.]",alien,adjective,3,Pertaining to extraterrestrial life; typical of an extraterrestrial creature.,,
4629,The toiler toils. The wordster words. And you say all your prayers in words. Toil is always alive. But words are dead.,wordster,noun,1,One who is skilled at using words; a wordsmith. [from early 20th c.],,
2388,Calvin: I'd like to get a Valentine bouquet for a girl I know.Cashier: What a sweet little boy you are!  Come see what we have.,little boy,noun,1,"A male child, especially one younger than ten years of age.",,
1758,"He had a stable of writers at his disposal, his garreteers, given entry to the prison and always at the ready to put a prisoner's story to paper.",garreteer,noun,2,A poor author; a literary hack.,,
4430,"Some blacks don't want to deal with the black cop because they see him as an Uncle Tom, a person who stands by while the white cop abuses and shows disrespect toward other blacks.",Uncle Tom,noun,1,"A black man who is servile towards white authority and accepting of white supremacy, a black race traitor.",,
698,"Ice is said to be clam, when beginning to melt with the sun or otherwise, and not easy to be slid upon.",clam,adjective,1,clammy.,,
3114,"When most people refer to their computers as a potato they're being hyperbolic, but not Ethan. He plays Overwatch at 800x600 resolution with all settings on low and is excited when he gets 30 fps.",potato,noun,3,Metaphor for a person or thing of little value.,,
